,user_id,guild_id,text_channel_id,boj_id
192598372979310592,192598372979310592,953192501806780426,970197607748096040,creeperss85
791163905606418433,791163905606418433,953192501806780426,970197607748096040,elvis1208
825995018564272158,825995018564272158,863994472341831700,1032918630020694086,hhes0225
264788350227972097,264788350227972097,863994472341831700,1032918630020694086,dev0
275170600421687298,275170600421687298,863994472341831700,1032918630020694086,110000110101
378570495605473284,378570495605473284,863994472341831700,1032918630020694086,shms420
